ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
1,99e42483-d3ef-4361-8953-a86cf05d676d,01/11/2024 02:48:12.983,ek30648_USG,01/11/2024 02:48:12.983,ek30648_USG,01/10/2024 19:26:22.757,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,F9,,F9001,Tortoise Burrow,,12,No,No,No,Yes,Yes,,Yes,Set trap,No,Yes,-81.61820866,30.93674326
2,14f2deb7-212f-4b47-b09e-e215e56abf66,01/11/2024 02:48:13.652,ek30648_USG,01/11/2024 02:48:13.652,ek30648_USG,01/10/2024 19:42:03.642,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9002,Tortoise Burrow,,10,Yes,Yes,No,Yes,Yes,Tried poking butter ,Yes,This is butter!!,Yes,Yes,-81.61833031,30.93679022
3,95a61bce-05c8-4f4e-99d6-4ceb376d13d1,01/11/2024 02:48:14.301,ek30648_USG,01/11/2024 02:48:14.301,ek30648_USG,01/10/2024 19:47:10.596,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9003,Tortoise Burrow,,15,Yes,No,No,Yes,Yes,This is breads home but he wasn’t there ,Yes,,Yes,Yes,-81.61834491,30.93689903
4,b264e89d-d3ec-47c2-b46c-d4214e807a9a,01/11/2024 02:48:15.215,ek30648_USG,01/11/2024 02:48:15.215,ek30648_USG,1/10/24 20:30,"Eva_Kerr,John_Maerz",,Ceylon WMA,,F9,,F9008,Tortoise Burrow,,10,No,No,Yes,No,Yes,"Couldn’t get to the end 


",Yes,,No,Yes,-81.61838429,30.93751879
5,fe73ce4b-b4e4-455d-83f3-95e1a6686977,01/11/2024 02:48:16.491,ek30648_USG,01/11/2024 02:48:16.491,ek30648_USG,01/10/2024 20:34:59.009,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9009,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,Couldn’t get to end ,No,No,-81.61838724,30.93784812
6,ef9f0ca7-471d-4063-9ce8-fab2ad87d677,01/11/2024 02:48:17.480,ek30648_USG,01/11/2024 02:48:17.480,ek30648_USG,01/10/2024 20:50:00.863,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9010,Tortoise Burrow,,13,No,No,No,Yes,Yes,Nice little burrow ,Yes,,No,No,-81.61844293,30.93780302
7,22363dea-b98a-4682-ba13-9f1153db8f56,01/11/2024 02:48:26.878,ek30648_USG,01/11/2024 02:48:26.878,ek30648_USG,01/10/2024 21:10:47.175,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9013,Tortoise Burrow,,30,No,No,No,No,Yes,Nice burrow but flooded ,Yes,,No,No,-81.61861445,30.93773942
8,1dc3d980-7a75-4c52-840e-0bdd48a48f6e,01/11/2024 02:48:27.992,ek30648_USG,01/11/2024 02:48:27.992,ek30648_USG,01/10/2024 21:33:08.836,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9015,Tortoise Burrow,,35,No,No,No,No,Yes,Soupy ,Yes,,No,No,-81.61762086,30.9377107
9,69db276a-e247-473a-8e02-5486a58f0c58,01/11/2024 02:48:29.014,ek30648_USG,01/11/2024 02:48:29.014,ek30648_USG,01/10/2024 22:26:23.838,"Eva_Kerr,John_Maerz,Kristina_Hefferle_",,Ceylon WMA,,F9,,F9023,Tortoise Burrow,,33,No,No,No,No,Yes,Soupy ,Yes,,No,No,-81.61627559,30.93784675
10,2c494e5e-33dc-4500-ba1a-3d490d142741,01/11/2024 02:48:29.985,ek30648_USG,01/11/2024 02:48:29.985,ek30648_USG,01/10/2024 22:30:52.247,"Eva_Kerr,John_Maerz,Kristina_Hefferle_",,Ceylon WMA,,F9,,F9024,Tortoise Burrow,,19,No,No,No,No,Yes,Not maintained ,Yes,,Yes,No,-81.61612426,30.93790321
11,6bf99851-8792-4607-99d5-1d432c624c79,01/11/2024 02:48:30.798,ek30648_USG,01/11/2024 02:48:30.798,ek30648_USG,01/10/2024 22:35:44.824,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9025,Tortoise Burrow,,27,No,No,Yes,No,Yes,Tortoise!!,Yes,,No,No,-81.61606086,30.9377699
12,3ab121a3-005b-4e0a-9ce6-d49bc89002e2,01/11/2024 02:48:31.542,ek30648_USG,01/11/2024 02:48:31.542,ek30648_USG,01/10/2024 22:41:03.423,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9026,Tortoise Burrow,,13,No,No,No,No,No,Full of pine straw ,Yes,,No,No,-81.61602458,30.93752262
13,0cb3de17-bd30-4aaa-a4e9-f909ad0af9f6,01/11/2024 02:48:32.124,ek30648_USG,01/11/2024 02:48:32.124,ek30648_USG,01/10/2024 22:44:34.495,"Eva_Kerr,John_Maerz,Kristina_Hefferle_",,Ceylon WMA,,F9,,F9027,Tortoise Burrow,,34,No,No,Yes,No,Yes,Soupy ,Yes,,No,No,-81.61596607,30.93723696
14,509a653a-72e8-427f-86b7-f75783f8584a,01/11/2024 02:48:33.195,ek30648_USG,01/11/2024 02:48:33.195,ek30648_USG,01/10/2024 22:53:55.389,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9028,Tortoise Burrow,,23,No,No,No,No,Yes,Soupy ,Yes,,No,No,-81.61609346,30.9371768
15,15e9c7b1-f362-48c3-8ed8-d5b5766f5be8,01/11/2024 02:48:34.086,ek30648_USG,01/11/2024 02:48:34.086,ek30648_USG,01/10/2024 22:55:45.827,"Eva_Kerr,John_Maerz,Kristina_Hefferle_",,Ceylon WMA,,F9,,F9029,Tortoise Burrow,,33,No,No,No,No,Yes,Soupy,Yes,,No,No,-81.61626829,30.93723092
16,befc21c7-10e3-4b1c-9ec2-8e64c0beb7dd,01/11/2024 02:48:34.994,ek30648_USG,01/11/2024 02:48:34.994,ek30648_USG,01/10/2024 23:00:18.887,"Eva_Kerr,Kristina_Hefferle_,John_Maerz",,Ceylon WMA,,F9,,F9030,Tortoise Burrow,,22,No,No,No,No,Yes,,Yes,,No,No,-81.61636058,30.93706495
