ObjectID,Year,Date,Time,Date and Time,number_obs,Observer(s),Wetland Number,Days Since Rain,Maximum Depth (m),Sky Code,Water Clarity,Total Search Time (minutes),Species 1,Species 1 Number of Egg Masses,Species 2,Species 2 Number of Egg Masses,Species 3,Species 3 Number of Egg Masses,Species 4,Species 4 Number of Egg Masses,Species 5,Species 5 Number of Egg Masses,Species Calling,Notes
1,2023,1/13/23,NA,NA,1,lls,15,1,0,0,NA,5:00,0,,,,,,,,,,Nothing_heard_calling,"No standing water, but mucky at staff gauge; pig damage"
2,2023,1/13/23,NA,NA,1,lls,46,1,0.4,0,NA,15:00,0,,,,,,,,,,Nothing_heard_calling,"Water around staff gauge, easy to search, no eggs"
3,2023,1/13/23,NA,NA,1,lls,47,1,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,"Wetland dry, has been mulched, photos taken"
4,2023,1/13/23,NA,NA,1,lls,48,1,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,"Wetland dry, photos taken, this wetland is worth dipnetting although it is embedded in fields there is some wiregrass adjacent."
5,2023,1/13/23,NA,NA,1,lls,49,1,NA,0,3,5:00,0,,,,,,,,,,Nothing_heard_calling,"No staff gauge, water ~1m deep in center, very turbid but I was able to search the margins thoroughly no egg masses present."
6,2023,1/13/23,NA,NA,1,lls,50,1,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,No standing water; wetland was mulched
7,2023,1/13/23,NA,NA,1,lls,51,1,0.3,0,0,15:00,0,,,,,,,,,,Nothing_heard_calling,Very shallow and clear water. I was able to search thoroughly; photo taken
8,2023,1/13/23,NA,NA,1,lls,53,1,0.2,0,0,15:00,0,,,,,,,,,,Nothing_heard_calling,Water only around staff gauge. very clear and I was able to search thoroughly
9,2023,1/13/23,NA,NA,1,lls,55,1,0.3,0,0,15:00,0,,,,,,,,,,Nothing_heard_calling,"Searched thoroughly, clear water but too shallow.  Only one edge of the wetland was mulched likely because the wetland was too mucky at the time."
10,2023,1/15/23,NA,NA,1,lls,41,3,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,"Wetland very dry, no ARD here"
11,2023,1/15/23,NA,NA,1,lls,40,3,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,"Wetland dry, needs myrtle holly removed, see photo"
12,2023,1/15/23,NA,NA,1,lls,39,3,0,0,NA,0:00,0,,,,,,,,,,Nothing_heard_calling,"Wetland dry, has some pvc wells and a tipping rain gauge, photo taken"
13,2023,1/15/23,NA,NA,1,lls,42,3,0.45,0,NA,15:00,0,,,,,,,,,,Nothing_heard_calling,"water at staff gauge; maidencane not inundated yet. Photos taken of staff gauge area x2, hog sign"
14,2023,1/15/23,NA,NA,1,lls,37,3,0,0,NA,15:00,0,,,,,,,,,,Nothing_heard_calling,No water at staff gauge but there is water at deepest part near pvc well. Photo taken on water and ice! Silt in water.
15,2023,1/23/23,NA,NA,1,"lls, jmh",15,1,0,0,NA,3:00,0,,,,,,,,,,Nothing_heard_calling,Pool of water west of staff gauge searched by 1 person for 3 min
16,2023,1/23/23,NA,NA,2,"lls, jmh",53,1,0.28,0,NA,3:30,0,,,,,,,,,,Nothing_heard_calling,NA
17,2023,1/23/23,NA,NA,2,"lls, jmh",51,1,0.4,0,NA,17:00,0,,,,,,,,,,Pseudacris_ornata,Water at staff gauge and 3 separate pools searched; Psorn (1 individual) calling
18,2023,1/23/23,NA,NA,2,"lls, jmh",42,1,0.39,0,NA,12:00,0,,,,,,,,,,Nothing_heard_calling,NA
19,2023,1/23/23,NA,NA,2,"lls, jmh",46,1,0.46,0,NA,5:30,0,,,,,,,,,,Nothing_heard_calling,NA
20,2023,1/23/23,NA,NA,2,"lls, jmh",49,1,NA,0,3,8:40,0,,,,,,,,,,Nothing_heard_calling,"Depth around 0.3 m, water very turbid, one large leopard frog tadpole at surface (Photos taken)"
21,2023,1/23/23,NA,NA,1,"lls, jmh",50,1,0.38,0,NA,2:50,0,,,,,,,,,,Nothing_heard_calling,NA
22,2023,1/23/23,NA,NA,2,"lls, jmh",55,1,0.33,0,NA,13:50,0,,,,,,,,,,Nothing_heard_calling,NA
23,2023,1/27/23,NA,NA,1,lls,15,2,0,0,NA,5:00,0,,,,,,,,,,Nothing_heard_calling,"water 0.3 m deep in pool adjacent to staff gauge, "
24,2023,1/27/23,NA,NA,1,lls,53,2,0.38,0,NA,10:10,0,,,,,,,,,,Nothing_heard_calling,"water is up into emergent vegetation, dead or cold-stunned crayfish"
25,2023,1/27/23,NA,NA,1,lls,51,2,0.5,1,NA,13:20,0,,,,,,,,,,"Rana_sphenocephalus, Pseudacris_nigrita","searched at staff gauge and 4 pools, Psnig and Rasph calling"
26,2023,1/27/23,NA,NA,1,lls,42,2,0.42,1,NA,9:10,0,,,,,,,,,,Nothing_heard_calling,mosquito fish present
27,2023,1/27/23,NA,NA,1,lls,46,2,0.68,0,NA,15:00,0,,,,,,,,,,Rana_sphenocephalus,Rasph calling
28,2023,1/27/23,NA,NA,1,lls,49,2,NA,0,3,5:20,0,,,,,,,,,,Nothing_heard_calling,Water turbid
29,2023,1/27/23,NA,NA,1,lls,50,2,0.56,0,NA,3:58,0,,,,,,,,,,Nothing_heard_calling,NA
30,2023,1/27/23,NA,NA,1,lls,55,2,0.4,0,NA,NA,0,,,,,,,,,,Pseudacris_ornata,"4-5 Psorn calling, large banded water snake basking on vegetation"
31,2023,1/31/23,NA,NA,2,"lls, jmh",15,1,0,2,NA,4:50,Rana Sphenocephala,1,,,,,,,,,Nothing_heard_calling,"Water is pooled west of the staff gauge, 1 Lisph mass detected in 15 cm water, Many small masses (Pseudacris?) detected. Aquatic inverts present"
32,2023,1/31/23,NA,NA,2,"lls, jmh",53,1,0.39,2,NA,20:50,Genus Pseudacris,1,Genus Ambystoma,1,,,,,,,"Rana_sphenocephalus,Pseudacris_ornata","Numerous small egg masses (Pseudacris obs, possible ambystomatid egg masses, Psorn and Rasph heard calling as we approached"
33,2023,1/31/23,NA,NA,2,"lls, jmh",42,1,0.42,2,3,18:50,Rana Sphenocephala,3,,,,,,,,,Nothing_heard_calling,"3 Rasph egg masses at water depth 15, 12.5, and 6 cm. Water slightly turbid, caught an adult female Rasph"
34,2023,1/31/23,NA,NA,2,"lls, jmh",51,1,0.52,2,NA,27:50:00,Rana Sphenocephala,2,Genus Ambystoma,1,Genus Pseudacris,1,,,,,"Pseudacris_feriarum, Pseudacris_ornata,Pseudacris_nigrita","Psnig, Psorn, Psfer calling, Rasph masses at water depth 15 and 19 cm, small egg masses, Pssp, and possible ambystomatid detected. We searched the wetland edge and 3 inundated pools."
35,2023,2/2/23,NA,NA,1,lls,51,3,0.54,2,NA,18:00,0,,,,,,,,,,"Rana_sphenocephalus, Pseudacris_nigrita",Main wetland now merged with separate pool to the north; Psnig and Rasph calling; Psuedacris egg masses hatched since Tuesday
36,2023,2/2/23,NA,NA,1,lls,53,3,0.38,2,NA,16:25,0,,,,,,,,,,"Rana_capito,Pseudacris_nigrita","Calling sp incuded Psnig, and 1 Racap (!) on east side of staff gauge; water level has dropped noticably since Tuesday."
37,2023,2/2/23,NA,NA,1,lls,42,3,0.4,2,NA,16:00,0,,,,,,,,,,Nothing_heard_calling,water levels have dropped since Tuesday and lots of oxidation (oily patches and bubbles) apparent
38,2023,2/2/23,NA,NA,1,jmh,50,3,0.55,2,NA,14:30,Genus Pseudacris,1,,,,,,,,,Nothing_heard_calling,"many Pseudacris egg masses, no frogs calling"
39,2023,2/2/23,NA,NA,1,jmh,55,3,0.39,2,NA,23:55,Genus Pseudacris,1,,,,,,,,,Nothing_heard_calling,"many Pseudacris egg masses, no frogs calling, water muddies quickly decreasing water visibility"
40,2023,2/2/23,NA,NA,1,jmh,49,3,1,2,NA,11:36,0,,,,,,,,,,Nothing_heard_calling,"lots of small black snails on maidencane, 2 mergansers spooked off pond, water muddy with very low visibility, no frogs calling"
41,2023,2/2/23,NA,NA,1,jmh,46,3,0.69,2,NA,18:45,Rana Sphenocephala,1,,,,,,,,,Pseudacris_nigrita,"RASPH egg mass at 26cm( took photo), psnig calling"
42,2023,2/2/23,NA,NA,1,jmh,15,3,0,2,NA,3:08,0,,,,,,,,,,Nothing_heard_calling,"previously documented RASPH still intact, pool near staff gauge drying up quickly"
43,2023,2/7/23,NA,NA,2,"mnz, jmh",49,4,1,0,3,6:02,0,,,,,,,,,,Nothing_heard_calling,"no frogs calling; water very muddy, visibility low"
44,2023,2/7/23,NA,NA,2,"mnz, jmh",50,4,0.53,0,0,12:13,Rana Sphenocephala,1,Genus Pseudacris,1,,,,,,,Nothing_heard_calling,"3 RASPH egg masses at 4.0cm, 53.0cm, 53.0cm, unknown pseudacris, no frogs calling"
45,2023,2/7/23,NA,NA,2,"mnz, jmh",55,4,0.38,0,0,10:29,0,,,,,,,,,,Nothing_heard_calling,no frogs calling
46,2023,2/7/23,NA,NA,2,"mnz, jmh",46,4,0.66,0,0,4:23,0,,,,,,,,,,Nothing_heard_calling,no frogs calling
47,2023,2/7/23,NA,NA,2,"mnz, jmh",42,4,0.38,0,0,2:32,0,,,,,,,,,,Nothing_heard_calling,no frogs calling
48,2023,2/7/23,NA,NA,2,"mnz, jmh",53,4,0.35,0,0,11:50,Genus Pseudacris,1,Genus Ambystoma,1,,,,,,,Nothing_heard_calling,"Unknown pseudacris and unknown ambystoma egg masses, no frogs calling"
49,2023,2/7/23,NA,NA,2,"mnz, jmh",51,4,0.54,0,0,15:13,Rana Sphenocephala,1,,,,,,,,,Nothing_heard_calling,"2 RASPH at 9.0cm and 17.0cm, no frogs calling"
50,2023,2/14/23,NA,NA,1,lls,51,3,0.66,0,0,14:55,0,,,,,,,,,,Pseudacris_nigrita,"No egg masses, PSNIG heard calling, LISPH tadpoles, 1 old RASPH egg mass at 0.5cm with fungus"
51,2023,2/14/23,NA,NA,1,lls,42,3,0.42,0,0,6:13,0,,,,,,,,,,Nothing_heard_calling,"no frogs calling, most of the pond was < 6in deep"
52,2023,2/14/23,NA,NA,1,lls,46,3,0.79,0,0,15:34,0,,,,,,,,,,"Pseudacris_nigrita,Pseudacris_ornata","PSNIG, PSORN heard calling. Water present in mulcher tracks but shallow"
53,2023,2/14/23,NA,NA,3,"lls, jmh, mnz",53,3,0.44,0,0,20:38,Pseudacris nigrita,1,,,,,,,,,Pseudacris_nigrita,"PSNIG egg masses, PSNIG heard calling and PSNIG pair observed in amplexus"
54,2023,2/14/23,NA,NA,3,"lls, jmh, mnz",15,3,0,0,0,10:47,Pseudacris nigrita,1,,,,,,,,,Pseudacris_nigrita,PSNIG egg masses and PSNIG heard calling
55,2023,2/14/23,NA,NA,2,"mnz, jmh",50,3,0.67,0,0,14:28,Pseudacris nigrita,1,Rana Sphenocephala,1,,,,,,,Nothing_heard_calling,PSNIG and RASPH egg masses; no frogs calling; 3-4 unknown ranid masses (likely RASPH) observed near staff guage
56,2023,2/14/23,NA,NA,2,"mnz, jmh",55,3,0.44,0,0,20:22,Pseudacris nigrita,1,,,,,,,,,"Pseudacris_nigrita,Rana_sphenocephalus,Acris_gryllus","PSNIG egg masses, PSNIG, ACGRY and RASPH heard calling, 2 NEFAS observed basking"
57,2023,2/14/23,NA,NA,2,"mnz, jmh",49,3,1,0,3,7:41,0,,,,,,,,,,Nothing_heard_calling,"Water muddy with low visibility, 2 Ranid tadpoles observed"
58,2023,2/16/23,NA,NA,2,"mnz, jmh",55,5,0.42,0,0,24:34:00,Pseudacris nigrita,1,,,,,,,,,"Rana_sphenocephalus,Pseudacris_nigrita","PSNIG egg masses, RASPH and PSNIG heard calling, water muddies once start walking lowering visibility"
59,2023,2/16/23,NA,NA,2,"mnz, jmh",50,5,0.66,0,0,11:25,Pseudacris nigrita,1,Rana Sphenocephala,1,,,,,,,Pseudacris_nigrita,"Psnig egg masses, RASPH egg masses observed previously still present, PSNIG heard calling"
60,2023,2/16/23,NA,NA,2,"mnz, jmh",49,5,1,0,3,8:20,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water muddy "
61,2023,2/16/23,NA,NA,2,"mnz, jmh",46,5,0.78,0,0,11:05,Rana Sphenocephala,1,,,,,,,,,Pseudacris_nigrita,"1 RASPH egg mass , PSNIG calling"
62,2023,2/16/23,NA,NA,2,"mnz, jmh",53,5,0.42,2,0,24:52:00,Pseudacris nigrita,1,Genus Ambystoma,1,,,,,,,Pseudacris_nigrita,"PSNIG and Ambystoma egg masses, PSNIG heard calling, 1 NEERY observed basking"
63,2023,2/16/23,NA,NA,2,"mnz, jmh",42,5,0.43,2,0,16:08,Pseudacris nigrita,1,Rana Sphenocephala,1,,,,,,,Nothing_heard_calling,"RASPH egg mass at 6.0cm, PSNIG egg masses, 1 NEFAS and 1 ACGRY observed"
